Subject-4 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
smooth,-0.061108518,-0.023024026,0.149261856
rot,-0.075656784,-0.023733763,-0.139373326
original,-0.076511377,-0.027236354,0.164216721
neg,-0.079134107,-0.032621905,-0.114610338
emboss,-0.084594548,-0.032330179,-0.045471042
jitter,-0.093919736,-0.028814945,0.0718355
poster,-0.094860762,-0.035093659,0.011477956
con,-0.098273885,-0.03520236,-0.013102852
cc,-0.110843742,-0.028732041,-0.026134282
stipple,-0.112514281,-0.029493406,-0.048142877
detail,,,
noise1,,,
noise2,,,